vehicle_id;activity_index;arrival_time;end_time;name;location_id;iterations;unassigned_jobs;runtime;distance;SoC;SoC %;Maximum Range;TimeStamp;Duration;Activity_counter
vehicle_LEAD_2;-1;0.0;0.0;start;6068627214;1000;0;32.60496666666667;0.0;8880.0;100.0;8880.0;0.0;0.0;start
vehicle_LEAD_2;116;0.0;1.0;pickupShipment;6068627214;1000;0;32.60496666666667;0.0;8880.0;100.0;8880.0;0.0;1.0;D
vehicle_LEAD_2;128;1.0;2.0;pickupShipment;6068627214;1000;0;32.60496666666667;0.0;8880.0;100.0;8880.0;1.0;1.0;D
vehicle_LEAD_2;182;2.0;3.0;pickupShipment;6068627214;1000;0;32.60496666666667;0.0;8880.0;100.0;8880.0;2.0;1.0;D
vehicle_LEAD_2;130;3.0;4.0;pickupShipment;6068627214;1000;0;32.60496666666667;0.0;8880.0;100.0;8880.0;3.0;1.0;D
vehicle_LEAD_2;129;25.84555630888738;425.0;deliverShipment;1581680176;1000;0;32.60496666666667;1.09228;7263.207144;81.79287324324325;8880.0;25.84555630888738;399.15444369111265;1
vehicle_LEAD_2;183;425.0;430.0;deliverShipment;1581680176;1000;0;32.60496666666667;1.09228;7263.207144;81.79287324324325;8880.0;425.0;5.0;2
vehicle_LEAD_2;131;430.1719396561207;435.1719396561207;deliverShipment;16564347;1000;0;32.60496666666667;1.1008769999999999;7250.4818646;81.6495705472973;8880.0;430.1719396561207;5.0;3
vehicle_LEAD_2;117;438.11887376225246;443.11887376225246;deliverShipment;4732532621;1000;0;32.60496666666667;1.2482239999999998;7032.3788352;79.19345535135135;8880.0;438.11887376225246;5.0;4
vehicle_LEAD_2;70;465.4143891712216;466.4143891712216;pickupShipment;6068627214;1000;0;32.60496666666667;2.363002;5382.2844396;60.611311256756764;8880.0;465.4143891712216;1.0;D
vehicle_LEAD_2;224;466.4143891712216;467.4143891712216;pickupShipment;6068627214;1000;0;32.60496666666667;2.363002;5382.2844396;60.611311256756764;8880.0;466.4143891712216;1.0;D
vehicle_LEAD_2;152;467.4143891712216;468.4143891712216;pickupShipment;6068627214;1000;0;32.60496666666667;2.363002;5382.2844396;60.611311256756764;8880.0;467.4143891712216;1.0;D
vehicle_LEAD_2;12;468.4143891712216;469.4143891712216;pickupShipment;6068627214;1000;0;32.60496666666667;2.363002;5382.2844396;60.611311256756764;8880.0;468.4143891712216;1.0;D
vehicle_LEAD_2;225;486.32373535252924;491.32373535252924;deliverShipment;34815654;1000;0;32.60496666666667;3.208471;4130.8212258;46.518257047297304;8880.0;486.32373535252924;5.0;1
vehicle_LEAD_2;153;491.32373535252924;496.32373535252924;deliverShipment;34815654;1000;0;32.60496666666667;3.208471;4130.8212258;46.518257047297304;8880.0;491.32373535252924;5.0;2
vehicle_LEAD_2;13;496.32373535252924;501.32373535252924;deliverShipment;34815654;1000;0;32.60496666666667;3.208471;4130.8212258;46.518257047297304;8880.0;496.32373535252924;5.0;3
vehicle_LEAD_2;28;518.2330815338369;519.2330815338369;pickupShipment;6068627214;1000;0;32.60496666666667;4.05394;2879.3580120000006;32.425202837837844;8880.0;518.2330815338369;1.0;D
vehicle_LEAD_2;29;519.2330815338369;524.2330815338369;deliverShipment;6068627214;1000;0;32.60496666666667;4.05394;2879.3580120000006;32.425202837837844;8880.0;519.2330815338369;5.0;1
vehicle_LEAD_2;124;524.2330815338369;525.2330815338369;pickupShipment;6068627214;1000;0;32.60496666666667;4.05394;2879.3580120000006;32.425202837837844;8880.0;524.2330815338369;1.0;D
vehicle_LEAD_2;125;525.2330815338369;714.1166666666667;deliverShipment;6068627214;1000;0;32.60496666666667;4.05394;2879.3580120000006;32.425202837837844;8880.0;525.2330815338369;188.8835851328298;1
