vehicle_id;activity_index;arrival_time;end_time;name;location_id;iterations;unassigned_jobs;runtime;distance;SoC;SoC %;Maximum Range;TimeStamp;Duration;Activity_counter
vehicle_LEAD_1;-1;0.0;0.0;start;6068627214;1000;0;26.073016666666668;0.0;8880.0;100.0;8880.0;0.0;0.0;start
vehicle_LEAD_1;246;0.0;1.0;pickupShipment;6068627214;1000;0;26.073016666666668;0.0;8880.0;100.0;8880.0;0.0;1.0;D
vehicle_LEAD_1;84;1.0;2.0;pickupShipment;6068627214;1000;0;26.073016666666668;0.0;8880.0;100.0;8880.0;1.0;1.0;D
vehicle_LEAD_1;218;2.0;3.0;pickupShipment;6068627214;1000;0;26.073016666666668;0.0;8880.0;100.0;8880.0;2.0;1.0;D
vehicle_LEAD_1;164;3.0;4.0;pickupShipment;6068627214;1000;0;26.073016666666668;0.0;8880.0;100.0;8880.0;3.0;1.0;D
vehicle_LEAD_1;219;14.367219265561468;425.0;deliverShipment;2244451870;1000;0;26.073016666666668;0.518362;8112.7205676;91.35946585135135;8880.0;14.367219265561468;410.63278073443854;1
vehicle_LEAD_1;165;425.0;430.0;deliverShipment;2244451870;1000;0;26.073016666666668;0.518362;8112.7205676;91.35946585135135;8880.0;425.0;5.0;2
vehicle_LEAD_1;247;432.39259521480955;1020.2833333333333;deliverShipment;6297154743;1000;0;26.073016666666668;0.637992;7935.6442416;89.36536308108109;8880.0;432.39259521480955;587.8907381185238;3
vehicle_LEAD_1;85;1020.2833333333333;1102.0333333333333;deliverShipment;6297154743;1000;0;26.073016666666668;0.637992;7935.6442416;89.36536308108109;8880.0;1020.2833333333333;81.75;4
vehicle_LEAD_1;182;1110.007957384085;1111.007957384085;pickupShipment;6068627214;1000;0;26.073016666666668;1.036724;7345.4411352;82.7189317027027;8880.0;1110.007957384085;1.0;D
vehicle_LEAD_1;192;1111.007957384085;1112.007957384085;pickupShipment;6068627214;1000;0;26.073016666666668;1.036724;7345.4411352;82.7189317027027;8880.0;1111.007957384085;1.0;D
vehicle_LEAD_1;20;1112.007957384085;1113.007957384085;pickupShipment;6068627214;1000;0;26.073016666666668;1.036724;7345.4411352;82.7189317027027;8880.0;1112.007957384085;1.0;D
vehicle_LEAD_1;21;1113.007957384085;1246.4666666666667;deliverShipment;6068627214;1000;0;26.073016666666668;1.036724;7345.4411352;82.7189317027027;8880.0;1113.007957384085;133.4587092825816;1
vehicle_LEAD_1;214;1246.4666666666667;1247.4666666666667;pickupShipment;6068627214;1000;0;26.073016666666668;1.036724;7345.4411352;82.7189317027027;8880.0;1246.4666666666667;1.0;D
vehicle_LEAD_1;74;1247.4666666666667;1248.4666666666667;pickupShipment;6068627214;1000;0;26.073016666666668;1.036724;7345.4411352;82.7189317027027;8880.0;1247.4666666666667;1.0;D
vehicle_LEAD_1;215;1259.2577650844698;1264.2577650844698;deliverShipment;3246517575;1000;0;26.073016666666668;1.57628;6546.790344;73.72511648648648;8880.0;1259.2577650844698;5.0;1
vehicle_LEAD_1;138;1275.048863502273;1276.048863502273;pickupShipment;6068627214;1000;0;26.073016666666668;2.115836;5748.1395528;64.73130127027027;8880.0;1275.048863502273;1.0;D
vehicle_LEAD_1;75;1285.4856646286707;1290.4856646286707;deliverShipment;5947881168;1000;0;26.073016666666668;2.587677;5049.7205046;56.86622189864865;8880.0;1285.4856646286707;5.0;1
vehicle_LEAD_1;139;1318.2320691358618;1323.2320691358618;deliverShipment;831557249;1000;0;26.073016666666668;3.9749999999999996;2996.2050000000004;33.7410472972973;8880.0;1318.2320691358618;5.0;2
vehicle_LEAD_1;193;1339.9586556826887;1344.9586556826887;deliverShipment;1764056268;1000;0;26.073016666666668;4.811330999999999;1758.2678538000005;19.800313668918925;8880.0;1339.9586556826887;5.0;3
vehicle_LEAD_1;183;1376.6384123231753;1381.6384123231753;deliverShipment;5947870999;1000;0;26.073016666666668;6.395321999999999;-586.3556243999997;-6.603103878378374;8880.0;1376.6384123231753;5.0;4
vehicle_LEAD_1;-2;1383.9032477935043;0.0;end;6068627214;1000;0;26.073016666666668;6.508563999999999;-753.9764327999997;-8.49072559459459;8880.0;1383.9032477935043;-1383.9032477935043;end
vehicle_LEAD_2;-1;0.0;0.0;start;6068627214;1000;0;26.073016666666668;0.0;8880.0;100.0;8880.0;0.0;0.0;start
vehicle_LEAD_2;244;0.0;1.0;pickupShipment;6068627214;1000;0;26.073016666666668;0.0;8880.0;100.0;8880.0;0.0;1.0;D
vehicle_LEAD_2;98;1.0;2.0;pickupShipment;6068627214;1000;0;26.073016666666668;0.0;8880.0;100.0;8880.0;1.0;1.0;D
vehicle_LEAD_2;60;2.0;3.0;pickupShipment;6068627214;1000;0;26.073016666666668;0.0;8880.0;100.0;8880.0;2.0;1.0;D
vehicle_LEAD_2;230;3.0;4.0;pickupShipment;6068627214;1000;0;26.073016666666668;0.0;8880.0;100.0;8880.0;3.0;1.0;D
vehicle_LEAD_2;245;8.93531012937974;425.0;deliverShipment;35678668;1000;0;26.073016666666668;0.24676599999999999;8514.7369668;95.88667755405405;8880.0;8.93531012937974;416.06468987062027;1
vehicle_LEAD_2;99;425.0;430.0;deliverShipment;35678668;1000;0;26.073016666666668;0.24676599999999999;8514.7369668;95.88667755405405;8880.0;425.0;5.0;2
vehicle_LEAD_2;61;430.0;942.9833333333333;deliverShipment;35678668;1000;0;26.073016666666668;0.24676599999999999;8514.7369668;95.88667755405405;8880.0;430.0;512.9833333333333;3
