vehicle_id;activity_index;arrival_time;end_time;name;location_id;iterations;unassigned_jobs;runtime;distance;SoC;SoC %;Maximum Range;TimeStamp;Duration;Activity_counter;x;y
vehicle_LEAD_6;175;12.903662192675615;425.0;deliverShipment;25312123;1000;0;25.070766666666668;0.44518399999999997;8221.0386432;92.579264;8880.0;12.903662192675615;412.0963378073244;1;2.5312123E7;2.5312123E7
vehicle_LEAD_6;221;434.81324037351925;439.81324037351925;deliverShipment;16564347;1000;0;25.070766666666668;0.935847;7494.7592706;84.40044223648648;8880.0;434.81324037351925;5.0;2;1.6564347E7;1.6564347E7
vehicle_LEAD_6;143;441.09689780620437;446.09689780620437;deliverShipment;7362966881;1000;0;25.070766666666668;1.00003;7399.755593999999;83.33058101351351;8880.0;441.09689780620437;5.0;3;7.362966881E9;7.362966881E9
vehicle_LEAD_6;113;457.2733154533691;462.2733154533691;deliverShipment;5947847660;1000;0;25.070766666666668;1.558852;6572.587269599999;74.0156224054054;8880.0;457.2733154533691;5.0;4;5.94784766E9;5.94784766E9
vehicle_LEAD_6;100;471.61209677580644;472.61209677580644;pickupShipment;6068627214;1000;0;25.070766666666668;2.025792;5881.422681599999;66.23223740540539;8880.0;471.61209677580644;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;236;472.61209677580644;473.61209677580644;pickupShipment;6068627214;1000;0;25.070766666666668;2.025792;5881.422681599999;66.23223740540539;8880.0;472.61209677580644;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;248;473.61209677580644;474.61209677580644;pickupShipment;6068627214;1000;0;25.070766666666668;2.025792;5881.422681599999;66.23223740540539;8880.0;473.61209677580644;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;88;474.61209677580644;475.61209677580644;pickupShipment;6068627214;1000;0;25.070766666666668;2.025792;5881.422681599999;66.23223740540539;8880.0;474.61209677580644;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;237;481.84348431303135;486.84348431303135;deliverShipment;25312138;1000;0;25.070766666666668;2.337362;5420.236767599999;61.03870233783783;8880.0;481.84348431303135;5.0;1;2.5312138E7;2.5312138E7
vehicle_LEAD_6;101;488.72332055335886;493.72332055335886;deliverShipment;5947847671;1000;0;25.070766666666668;2.4313540000000002;5281.109809199999;59.47195731081081;8880.0;488.72332055335886;5.0;2;5.947847671E9;5.947847671E9
vehicle_LEAD_6;249;493.72332055335886;498.72332055335886;deliverShipment;5947847671;1000;0;25.070766666666668;2.4313540000000002;5281.109809199999;59.47195731081081;8880.0;493.72332055335886;5.0;3;5.947847671E9;5.947847671E9
vehicle_LEAD_6;89;510.6523566952866;515.6523566952866;deliverShipment;6842687749;1000;0;25.070766666666668;3.027807;4398.240078599999;49.52973061486485;8880.0;510.6523566952866;5.0;4;6.842687749E9;6.842687749E9
vehicle_LEAD_6;148;534.0595398809202;535.0595398809202;pickupShipment;6068627214;1000;0;25.070766666666668;3.948168;3035.921726399999;34.188307729729715;8880.0;534.0595398809202;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;6;535.0595398809202;536.0595398809202;pickupShipment;6068627214;1000;0;25.070766666666668;3.948168;3035.921726399999;34.188307729729715;8880.0;535.0595398809202;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;50;536.0595398809202;537.0595398809202;pickupShipment;6068627214;1000;0;25.070766666666668;3.948168;3035.921726399999;34.188307729729715;8880.0;536.0595398809202;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;198;537.0595398809202;538.0595398809202;pickupShipment;6068627214;1000;0;25.070766666666668;3.948168;3035.921726399999;34.188307729729715;8880.0;537.0595398809202;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;51;543.9581080837837;548.9581080837837;deliverShipment;25312133;1000;0;25.070766666666668;4.243097;2599.367820599999;29.272160141891877;8880.0;543.9581080837837;5.0;1;2.5312133E7;2.5312133E7
vehicle_LEAD_6;28;554.8566762866473;555.8566762866473;pickupShipment;6068627214;1000;0;25.070766666666668;4.5380259999999994;2162.813914799999;24.356012554054043;8880.0;554.8566762866473;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;199;563.8313003373992;708.3666666666667;deliverShipment;6297154743;1000;0;25.070766666666668;4.936757999999999;1572.610808399999;17.709581175675666;8880.0;563.8313003373992;144.5353663292675;1;6.297154743E9;6.297154743E9
vehicle_LEAD_6;7;713.5964162071676;744.8;deliverShipment;6921021577;1000;0;25.070766666666668;5.198245999999999;1185.556270799999;13.350858905405394;8880.0;713.5964162071676;31.20358379283232;2;6.921021577E9;6.921021577E9
vehicle_LEAD_6;29;745.9979176041647;750.9979176041647;deliverShipment;6921021579;1000;0;25.070766666666668;5.258141999999999;1096.898211599999;12.352457337837826;8880.0;745.9979176041647;5.0;3;6.921021579E9;6.921021579E9
vehicle_LEAD_6;149;750.9979176041647;755.9979176041647;deliverShipment;6921021579;1000;0;25.070766666666668;5.258141999999999;1096.898211599999;12.352457337837826;8880.0;750.9979176041647;5.0;4;6.921021579E9;6.921021579E9
